,Preload1,Preload2,Preload3,Load1,Load2,Load3,ChangeSceneToFile,ResourceLoader
start,"0,136","0,118","0,112","0,125","0,047","0,050","0,051","0,051"
timer,"2,986","2,981","2,991","2,993","2,993","2,974","2,985","2,991"
finish,"7,359","7,332","7,415","7,282","7,264","7,403","7,399","7,337"
,,,,,,,,
start,"0,127","0,12","0,116","0,117","0,059","0,058","0,058","0,067"
timer,"5,78","5,745","5,694","5,759","5,81","5,807","5,74","5,741"
finish,"7,32","7,291","7,197","7,245","7,316","7,444","7,351","7,227"
,,,,,,,,
start,"0,058","0,063","0,058","0,06","0,033","0,036","0,034","0,037"
timer,"5,926","6,041","5,971","6,011","6,072","6,007","5,975","5,931"
finish,"7,277","7,375","7,313","7,344","7,423","7,359","7,343","7,283"
